Toy Story (1995),Adventure
Toy Story (1995),Animation
Toy Story (1995),Children
Toy Story (1995),Comedy
Toy Story (1995),Fantasy
Jumanji (1995),Adventure
Jumanji (1995),Children
Jumanji (1995),Fantasy
Grumpier Old Men (1995),Comedy
Grumpier Old Men (1995),Romance
Waiting to Exhale (1995),Comedy
Waiting to Exhale (1995),Drama
Waiting to Exhale (1995),Romance
Father of the Bride Part II (1995),Comedy
Heat (1995),Action
Heat (1995),Crime
Heat (1995),Thriller
Sabrina (1995),Comedy
Sabrina (1995),Romance
Tom and Huck (1995),Adventure
Tom and Huck (1995),Children
Sudden Death (1995),Action
GoldenEye (1995),Action
GoldenEye (1995),Adventure
GoldenEye (1995),Thriller
Dracula: Dead and Loving It (1995),Comedy
Dracula: Dead and Loving It (1995),Horror
Balto (1995),Adventure
Balto (1995),Animation
Balto (1995),Children
Nixon (1995),Drama
Cutthroat Island (1995),Action
Cutthroat Island (1995),Adventure
Cutthroat Island (1995),Romance
Casino (1995),Crime
Casino (1995),Drama
Sense and Sensibility (1995),Drama
Sense and Sensibility (1995),Romance
Four Rooms (1995),Comedy
Ace Ventura: When Nature Calls (1995),Comedy
Money Train (1995),Action
Money Train (1995),Comedy
Money Train (1995),Crime
Money Train (1995),Drama
Money Train (1995),Thriller
Get Shorty (1995),Comedy
Get Shorty (1995),Crime
Get Shorty (1995),Thriller
Copycat (1995),Crime
Copycat (1995),Drama
Copycat (1995),Horror
Copycat (1995),Mystery
Copycat (1995),Thriller
Assassins (1995),Action
Assassins (1995),Crime
Assassins (1995),Thriller
Powder (1995),Drama
Powder (1995),Sci-Fi
Leaving Las Vegas (1995),Drama
Leaving Las Vegas (1995),Romance
Othello (1995),Drama
Now and Then (1995),Children
Now and Then (1995),Drama
Persuasion (1995),Drama
Persuasion (1995),Romance
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
Dangerous Minds (1995),Drama
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller
Babe (1995),Children
Babe (1995),Drama
Dead Man Walking (1995),Crime
Dead Man Walking (1995),Drama
It Takes Two (1995),Children
It Takes Two (1995),Comedy
Clueless (1995),Comedy
Clueless (1995),Romance
Richard III (1995),Drama
Richard III (1995),War
Dead Presidents (1995),Action
Dead Presidents (1995),Crime
Dead Presidents (1995),Drama
Restoration (1995),Drama
Mortal Kombat (1995),Action
Mortal Kombat (1995),Adventure
Mortal Kombat (1995),Fantasy
To Die For (1995),Comedy
To Die For (1995),Drama
To Die For (1995),Thriller
How to Make an American Quilt (1995),Drama
How to Make an American Quilt (1995),Romance
Seven (a.k.a. Se7en) (1995),Mystery
Seven (a.k.a. Se7en) (1995),Thriller
Pocahontas (1995),Animation
Pocahontas (1995),Children
Pocahontas (1995),Drama
Pocahontas (1995),Musical
Pocahontas (1995),Romance
When Night Is Falling (1995),Drama
When Night Is Falling (1995),Romance
Mighty Aphrodite (1995),Comedy
Mighty Aphrodite (1995),Drama
Mighty Aphrodite (1995),Romance
Lamerica (1994),Adventure
Lamerica (1994),Drama
Georgia (1995),Drama
Home for the Holidays (1995),Drama
Eye for an Eye (1996),Drama
Eye for an Eye (1996),Thriller
Mr. Holland's Opus (1995),Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Crime
